date      ,zone              ,cumulative_Chile_infections,Chile_new_infections,new_infections_with_symptoms,new_infections_without_symptoms,deceased,%_Chile
2020-05-19,Atacama           ,158                        ,1                   ,1                           ,0                              ,0       ,0.32
2020-05-19,Coquimbo          ,239                        ,27                  ,21                          ,6                              ,2       ,0.48
2020-05-19,Valparaíso        ,1639                       ,86                  ,72                          ,14                             ,32      ,3.31
2020-05-19,Metropolitana     ,37591                      ,3140                ,2802                        ,338                            ,318     ,75.82
2020-05-19,O’Higgins         ,442                        ,24                  ,13                          ,11                             ,7       ,0.89
2020-05-19,Maule             ,640                        ,38                  ,33                          ,5                              ,14      ,1.29
2020-05-19,Ñuble             ,988                        ,3                   ,3                           ,0                              ,21      ,1.99
2020-05-19,Biobío            ,1172                       ,28                  ,25                          ,3                              ,9       ,2.36
2020-05-19,Araucanía         ,1666                       ,27                  ,18                          ,9                              ,44      ,3.36
2020-05-19,Los Ríos          ,229                        ,5                   ,4                           ,1                              ,6       ,0.46
2020-05-19,Los Lagos         ,656                        ,4                   ,2                           ,2                              ,12      ,1.32
2020-05-19,Aysén             ,8                          ,0                   ,0                           ,0                              ,0       ,0.02
2020-05-19,Magallanes        ,972                        ,1                   ,1                           ,0                              ,17      ,1.96
2020-05-19,Chile             ,49579                      ,3520                ,3099                        ,421                            ,509     ,100.0

2020-05-20, Arica y Parinacota, 422, 24, 21, 3, 7, 0.85
2020-05-20, Tarapacá, 1109, 53, 40, 13, 4, 2.24
2020-05-20, Antofagasta, 1648, 59, 43, 16, 16, 3.32
2020-05-20, Atacama, 158, 1, 1, 0, 0, 0.32
2020-05-20, Coquimbo, 239, 27, 21, 6, 2, 0.48
2020-05-20, Valparaíso, 1639, 86, 72, 14, 32, 3.31
2020-05-20, Metropolitana, 37591, 3140, 2802, 338, 318, 75.82
2020-05-20, O’Higgins, 442, 24, 13, 11, 7, 0.89
2020-05-20, Maule, 640, 38, 33, 5, 14, 1.29
2020-05-20, Ñuble, 988, 3, 3, 0, 21, 1.99
2020-05-20, Biobío, 1172, 28, 25, 3, 9, 2.36
2020-05-20, Araucanía, 1666, 27, 18, 9, 44, 3.36
2020-05-20, Los Ríos, 229, 5, 4, 1, 6, 0.46
2020-05-20, Los Lagos, 656, 4, 2, 2, 12, 1.32
2020-05-20, Aysén, 8, 0, 0, 0, 0, 0.02
2020-05-20, Magallanes, 972, 1, 1, 0, 17, 1.96
2020-05-20, Chile, 49579, 3520, 3099, 421, 509, 100.0
2020-05-20, Arica y Parinacota, 422, 24, 21, 3, 7, 0.85
2020-05-20, Tarapacá, 1109, 53, 40, 13, 4, 2.24
2020-05-20, Antofagasta, 1648, 59, 43, 16, 16, 3.32
2020-05-20, Atacama, 158, 1, 1, 0, 0, 0.32
2020-05-20, Coquimbo, 239, 27, 21, 6, 2, 0.48
2020-05-20, Valparaíso, 1639, 86, 72, 14, 32, 3.31
2020-05-20, Metropolitana, 37591, 3140, 2802, 338, 318, 75.82
